asdf_id,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2016.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
102,399.389325453,404.784463308,409.88880913,411.415394856,406.470064191,402.868229693,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,398.346119792,403.448056002,408.483441671,410.814372214,405.78620002,401.236496488,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,396.636662296,402.417197249,407.084592306,409.848275774,404.838313771,400.286331775,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,396.693374256,401.557333748,406.664275825,410.356799806,404.406174607,400.621661363,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,400.150916634,403.522133851,408.529190976,410.829404203,407.050684125,401.107258676,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,398.94153641,403.224642959,409.044152186,410.191022581,406.141215494,402.499717342,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,400.022655082,404.607602774,408.880658792,411.541840344,406.597621578,402.602290886,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,399.750482138,404.575181767,408.531659931,411.722822479,406.766175318,402.843907505,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,398.901092339,404.754621951,410.098169264,411.26877211,406.833480902,402.301982393,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,399.653746411,404.932662092,409.375158775,411.050420833,407.291902958,403.324445417,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,399.612247616,404.666650556,409.39080698,411.529520563,406.979323073,403.02630448,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,402.444046322,405.462475655,409.019096684,410.862139708,406.520044326,402.260332586,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
