asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop,ntl,tr6_ntl,tr100_ntl,tr400_ntl,NTL,t6NTL,t100NTL,t400NTL,ln_NTLpc,ln_t6NTLpc,ln_t100NTLpc,ln_t400NTLpc
5,Aiquile,BOL-ADM3-33444609B22499454,2019,22415.348,22396.047,22373.822,22353.924,525.629638671875,545.68774,542.76471,542.46661,52562964480,54568775680,54276472832,54246662144,14.667776,14.706088,14.70171,14.70205
5,Aiquile,BOL-ADM3-33444609B22499454,2020,22192.563,22220.148,22194.734,22167.551,569.8402709960938,585.93909,591.29999,591.33496,56984027136,58593906688,59129999360,59133497344,14.758524,14.785142,14.795394,14.796679
6,Sacaca,BOL-ADM3-33444609B14646898,2012,19767.326,19782.563,19778.602,19779.961,27.68954849243164,28.376551,27.100449,26.932974,2768954880,2837655040,2710044928,2693297408,11.84995,11.873688,11.827875,11.821608
6,Sacaca,BOL-ADM3-33444609B14646898,2013,19817.66,19840.133,19847.57,19850.314,36.43451690673828,31.703098,31.221888,31.16073,3643451648,3170309888,3122188800,3116072960,12.121868,11.981633,11.965963,11.963864
6,Sacaca,BOL-ADM3-33444609B14646898,2014,19878.75,19902.879,19917.594,19921.242,34.52216339111328,35.281055,35.97794,36.054604,3452216320,3528105472,3597794048,3605460480,12.064876,12.085407,12.104228,12.106174
6,Sacaca,BOL-ADM3-33444609B14646898,2015,19991.605,19972.527,19989.125,19992.842,35.48403167724609,39.832836,41.540409,41.739201,3548403200,3983283712,4154040832,4173920000,12.086696,12.203259,12.244404,12.248992
6,Sacaca,BOL-ADM3-33444609B14646898,2016,20033.26,20046.949,20062.135,20065.139,40.14476776123047,46.307568,48.122322,48.362663,4014476800,4630756864,4812232192,4836266496,12.208024,12.350154,12.387837,12.39267
6,Sacaca,BOL-ADM3-33444609B14646898,2017,20121.355,20127.082,20136.699,20138.082,58.88786697387695,55.232422,55.919735,56.083591,5888786944,5523241984,5591973376,5608358912,12.586779,12.522409,12.534299,12.537156
6,Sacaca,BOL-ADM3-33444609B14646898,2018,20218.48,20211.619,20212.545,20211.639,77.48724365234375,65.820465,65.048676,65.056984,7748724224,6582046720,6504867328,6505698304,12.856441,12.693599,12.681758,12.681931
6,Sacaca,BOL-ADM3-33444609B14646898,2019,20301.313,20298.389,20289.293,20285.637,75.84483337402344,77.108543,75.631699,75.459221,7584483328,7710854144,7563169792,7545922048,12.83093,12.847598,12.828708,12.826605
6,Sacaca,BOL-ADM3-33444609B14646898,2020,20390.607,20386.232,20366.547,20359.982,85.72061920166016,89.681686,87.914543,87.520203,8572061696,8968168448,8791454720,8752020480,12.948944,12.994332,12.975397,12.971224
7,Acasio,BOL-ADM3-33444609B19396342,2012,6324.7026,6317.8057,6313.4634,6313.9028,4.447775840759277,3.9584322,3.2135177,3.1204131,444777600,395843232,321351776,312041312,11.160867,11.045402,10.837607,10.808137
7,Acasio,BOL-ADM3-33444609B19396342,2013,6354.4849,6339.062,6335.7319,6336.3423,4.559866428375244,4.2944369,4.0328188,3.9957459,455986656,429443680,403281888,399574592,11.181058,11.123515,11.061186,11.051854
7,Acasio,BOL-ADM3-33444609B19396342,2014,6374.6982,6357.5698,6358.0122,6358.8975,5.177781105041504,4.7466631,5.0774856,5.1211557,517778112,474666304,507748544,512115584,11.304965,11.220721,11.288026,11.296451
7,Acasio,BOL-ADM3-33444609B19396342,2015,6344.9238,6375.1528,6380.5049,6381.6187,4.708926677703857,5.4984016,6.4423618,6.5773625,470892672,549840192,644236160,657736256,11.21473,11.364975,11.522573,11.543138
7,Acasio,BOL-ADM3-33444609B19396342,2016,6393.9258,6396.4126,6403.5967,6404.5918,3.593858480453491,6.9623671,8.2761412,8.4759436,359385856,696236736,827614144,847594368,10.936804,11.597708,11.769443,11.793142
7,Acasio,BOL-ADM3-33444609B19396342,2017,6426.2617,6421.123,6427.3291,6427.8257,14.96706008911133,9.8059063,10.781191,10.963656,1496706048,980590656,1078119040,1096365696,12.358384,11.936317,12.030169,12.046875
7,Acasio,BOL-ADM3-33444609B19396342,2018,6435.4756,6448.6709,6451.6299,6451.2974,15.70475387573242,14.060922,14.145117,14.210152,1570475392,1406092160,1414511744,1421015168,12.405064,12.292451,12.297962,12.302601
