asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop
15,Arbieto,BOL-ADM3-33444609B65270572,2019,24769.832,24768.375,24702.984,24648.693
15,Arbieto,BOL-ADM3-33444609B65270572,2020,26144.529,26147.348,26047.992,25964.461
16,Papel Pampa,BOL-ADM3-33444609B96301403,2012,6343.0171,6339.9326,6343.4282,6341.7529
16,Papel Pampa,BOL-ADM3-33444609B96301403,2013,6441.1235,6424.7246,6427.2495,6426.0298
16,Papel Pampa,BOL-ADM3-33444609B96301403,2014,6508.6563,6510.0732,6511.9487,6511.2466
16,Papel Pampa,BOL-ADM3-33444609B96301403,2015,6579.8809,6596.7949,6597.6318,6597.4429
16,Papel Pampa,BOL-ADM3-33444609B96301403,2016,6692.3779,6685.5322,6684.3467,6684.6714
16,Papel Pampa,BOL-ADM3-33444609B96301403,2017,6788.1182,6774.1582,6771.9751,6772.9375
16,Papel Pampa,BOL-ADM3-33444609B96301403,2018,6856.4106,6861.5703,6860.4775,6862.2441
16,Papel Pampa,BOL-ADM3-33444609B96301403,2019,6951.834,6948.9106,6949.9712,6952.6689
16,Papel Pampa,BOL-ADM3-33444609B96301403,2020,7031.2046,7036.5039,7040.5381,7044.252
17,Umala,BOL-ADM3-33444609B33786797,2012,8631.8545,8621.7734,8638.6865,8645.1396
17,Umala,BOL-ADM3-33444609B33786797,2013,8579.4863,8582.0029,8585.3672,8589.5527
17,Umala,BOL-ADM3-33444609B33786797,2014,8542.6338,8542.9141,8533.1504,8534.7705
17,Umala,BOL-ADM3-33444609B33786797,2015,8551.9131,8499.3965,8481.2354,8480.5313
17,Umala,BOL-ADM3-33444609B33786797,2016,8463.1924,8446.4063,8428.9277,8426.6055
17,Umala,BOL-ADM3-33444609B33786797,2017,8349.4854,8387.3037,8376.2246,8372.9502
17,Umala,BOL-ADM3-33444609B33786797,2018,8322.9355,8328.0508,8323.4932,8319.6133
17,Umala,BOL-ADM3-33444609B33786797,2019,8286.04,8268.4521,8270.8027,8266.5762
17,Umala,BOL-ADM3-33444609B33786797,2020,8196.3838,8207.4873,8218.2256,8213.8301
18,Oruro,BOL-ADM3-33444609B89522171,2012,260075.77,260149.39,260096.05,260041.48
18,Oruro,BOL-ADM3-33444609B89522171,2013,267011.22,266930.94,266751.28,266674.47
18,Oruro,BOL-ADM3-33444609B89522171,2014,273951.72,273835.47,273558,273469.59
18,Oruro,BOL-ADM3-33444609B89522171,2015,281573.38,280810.38,280512.75,280428.75
18,Oruro,BOL-ADM3-33444609B89522171,2016,287548.44,287817.72,287615.22,287555.44
18,Oruro,BOL-ADM3-33444609B89522171,2017,294769.22,294943.66,294876.16,294855.63
18,Oruro,BOL-ADM3-33444609B89522171,2018,302054.19,302237.38,302306.56,302336.25
18,Oruro,BOL-ADM3-33444609B89522171,2019,309750.5,309724.75,309917.09,310004
18,Oruro,BOL-ADM3-33444609B89522171,2020,317430.88,317402.16,317716.22,317865.03
19,Huayllamarca,BOL-ADM3-33444609B49437729,2012,5560.1597,5562.1831,5565.6582,5567.4951
19,Huayllamarca,BOL-ADM3-33444609B49437729,2013,5535.457,5539.0664,5543.8647,5545.8159
19,Huayllamarca,BOL-ADM3-33444609B49437729,2014,5514.3237,5517.8979,5522.6465,5524.4214
19,Huayllamarca,BOL-ADM3-33444609B49437729,2015,5493.6211,5498.7026,5502.0024,5503.3145
19,Huayllamarca,BOL-ADM3-33444609B49437729,2016,5483.959,5480.9233,5481.8433,5482.4497
19,Huayllamarca,BOL-ADM3-33444609B49437729,2017,5468.2134,5463.2271,5462.0024,5461.7734
19,Huayllamarca,BOL-ADM3-33444609B49437729,2018,5447.0879,5444.7622,5442.3379,5441.2378
19,Huayllamarca,BOL-ADM3-33444609B49437729,2019,5426.9238,5425.4907,5422.7646,5420.7998
19,Huayllamarca,BOL-ADM3-33444609B49437729,2020,5402.3086,5405.7354,5403.251,5400.4434
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2012,9105.5586,9098.3174,9087.5898,9080.3906
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2013,9188.3525,9174.7402,9158.8389,9151.5313
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2014,9273.5557,9244.8389,9228.8154,9222.4189
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2015,9303.8691,9307.8887,9297.4639,9293.0586
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2016,9363.9004,9367.7666,9365.2119,9363.6045
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2017,9413.002,9427.833,9432.5459,9434.2461
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2018,9482.9434,9490.9082,9499.9463,9505.166
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2019,9548.9863,9557.459,9567.7461,9576.5186
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2020,9640.6455,9626.7168,9636.0674,9648.3799
