asdf_id,population_2020,urbano_2012,sdg1_1_eepr,sdg1_1_ubn,sdg1_2_mpi,sdg1_4_abs,sdg2_2_cmc,sdg2_2_oww,sdg2_4_pual,sdg2_4_td,sdg3_1_idca,sdg3_2_imr,sdg3_2_mrc,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg4_1_ssdrm,sdg4_1_ssdrf,sdg4_4_phe,sdg4_6_lr,sdg4_c_qti,sdg4_c_qts,sdg5_1_gpsd,sdg5_1_gpyp,sdg5_1_gpmpi,sdg5_5_gpop,sdg6_1_dwc,sdg6_2_sc,sdg6_3_wwt,sdg7_1_ec,sdg7_1_rec,sdg7_1_cce,sdg7_3_co2epc,sdg8_4_rem,sdg8_5_oprm,sdg8_5_ofrm,sdg8_6_mlm,sdg8_6_wlm,sdg8_10_dbb,sdg8_11_idi,sdg9_1_routes,sdg9_5_cd,sdg9_5_eutf,sdg9_c_mnc,sdg9_c_drb,sdg10_2_gcye,sdg10_2_iec,sdg10_2_nssp,sdg11_1_hocr,sdg11_1_hno,sdg11_2_samt,sdg13_1_ccvi,sdg13_2_tco2e,sdg13_2_dra,sdg15_1_pa,sdg15_5_blr,sdg16_1_rhr,sdg16_6_pbec,sdg16_9_cr,sdg17_1_pmtax,sdg17_5_pipc
281,10558,38.799999,41.900002,60.099998,0.101,67.400002,7.5999999,32.799999,33.700001,27.1,64.900002,23.9,28.5,5.5999999,0.0,0.0,29.1,0.0,83.300003,3.4000001,3.2,7.8000002,93.099998,47.799999,60.700001,1.1,0.89999998,1.0,0.60000002,88.800003,64.099998,0.0,83.400002,144,70.800003,3.0,7.4000001,80.5,49.0,6.1999998,28.6,19.200001,0.60000002,2,2.5999999,0.0,57.599998,3.5999999,0.41,72.0,6.0999999,28.6,26.5,0.0,1.7,14.1,0.47,37.400002,0.245,0.0,80.900002,87.900002,3.9000001,373
282,13197,66.400002,40.799999,49.400002,0.07,77.900002,7.5999999,32.799999,18.700001,34.700001,74.699997,22.6,28.0,0.0,0.80000001,0.0,32.700001,85.0,124.0,6.0999999,2.9000001,11.4,94.099998,50.0,57.599998,2.3,1.0,1.3,0.60000002,96.099998,22.700001,0.0,88.699997,186,82.699997,1.3,4.9000001,78.800003,47.799999,5.1999998,27.200001,79.599998,0.69999999,1,0.0,0.0,72.0,3.5,0.40000001,104.0,5.6999998,30.0,19.4,130.60001,1.4,18.799999,0.75999999,48.900002,0.52399999,0.0,79.0,89.599998,6.1999998,435
283,52357,27.9,56.799999,69.0,0.213,36.400002,18.1,23.4,11.1,2.5999999,70.400002,27.299999,34.900002,0.40000001,0.0,0.0,198.39999,508.89999,90.699997,5.0,2.8,8.0,94.099998,0.0,0.0,1.9,0.80000001,1.1,0.69999999,69.300003,56.099998,0.0,65.400002,169,45.900002,1.1,9.0,76.0,53.299999,7.4000001,23.6,15.6,4.5999999,2,4.0,24.4,43.400002,3.8,0.44999999,120.0,14.6,27.4,41.400002,89.0,1.0,6.3000002,1.78,16.4,0.574,4.5999999,89.300003,86.800003,1.2,1399
284,6132,75.400002,30.9,39.0,0.061000001,79.699997,7.5999999,32.799999,141.60001,372.0,86.199997,18.200001,20.4,0.0,0.0,0.0,63.599998,0.0,109.2,13.5,4.6999998,9.0,97.599998,60.0,81.400002,3.4000001,1.0,1.1,0.5,96.800003,15.7,0.0,91.699997,261,85.900002,0.5,5.1999998,71.900002,33.099998,10.1,34.5,32.0,0.1,0,2.0999999,9.1000004,74.800003,9.0,0.30000001,185.0,5.5999999,41.200001,14.6,642.09998,1.0,0.80000001,10.69,0.0,1.432,0.0,86.900002,91.300003,45.099998,848
285,24409,82.400002,34.0,35.599998,0.057999998,82.699997,7.5999999,32.799999,350.89999,106.8,85.5,22.4,26.4,0.0,0.0,0.0,51.700001,122.2,64.900002,5.6999998,2.3,13.6,98.900002,20.0,30.0,2.7,1.0,1.1,0.60000002,98.0,17.4,0.0,91.599998,375,76.199997,2.5999999,4.0,68.400002,43.400002,19.5,27.299999,25.4,1.1,2,0.0,0.0,64.599998,2.0,0.27000001,253.0,5.4000001,33.900002,11.8,1.2,1.0,30.200001,0.28999999,81.199997,0.183,0.0,79.0,89.699997,4.1999998,440
286,8056,45.900002,39.099998,68.900002,0.169,56.700001,12.5,31.200001,974.5,132.0,70.0,21.9,25.700001,0.0,0.0,0.0,145.8,0.0,79.599998,5.0999999,6.6999998,8.6999998,97.5,66.699997,32.0,0.80000001,0.89999998,1.2,0.5,79.0,83.900002,0.0,70.199997,124,22.299999,0.1,2.9000001,74.099998,35.5,13.7,41.799999,13.0,0.30000001,2,2.3,0.0,47.099998,3.7,0.30000001,127.0,4.5999999,38.200001,16.6,0.0,1.2,368.5,1.3099999,45.5,0.77200001,0.0,49.799999,83.300003,10.8,175
287,16308,67.699997,25.1,38.799999,0.07,76.699997,7.5999999,32.799999,240.7,46.299999,80.5,21.799999,26.4,0.0,0.60000002,0.0,24.200001,15.1,73.599998,6.8000002,4.3000002,14.4,97.900002,0.0,20.0,1.8,1.0,1.5,0.60000002,93.300003,47.799999,58.799999,89.599998,243,60.099998,1.3,3.7,60.900002,36.200001,32.799999,28.0,18.200001,1.7,2,0.0,0.0,68.900002,5.3000002,0.27000001,91.0,2.3,30.5,11.8,0.0,1.0,21.0,0.41,32.299999,0.243,0.0,68.800003,89.199997,3.0999999,623
288,15960,43.799999,38.599998,65.599998,0.19400001,52.799999,12.5,31.200001,526.29999,108.5,60.599998,22.5,27.299999,0.0,0.60000002,0.0,25.200001,47.700001,97.300003,5.1999998,4.8000002,8.8000002,97.599998,36.400002,57.799999,1.1,1.0,1.1,0.5,65.099998,43.299999,0.0,75.5,209,52.099998,0.2,0.0,69.0,34.400002,19.0,36.5,6.3000002,0.69999999,1,2.5999999,0.0,48.799999,2.0,0.34,187.0,6.9000001,36.799999,13.0,0.0,1.0,10.3,0.079999998,74.699997,0.037999999,4.1999998,71.0,68.599998,1.8,473
289,40476,10.9,55.099998,70.400002,0.204,44.099998,12.5,31.200001,227.0,182.39999,68.5,23.9,29.700001,0.0,0.0,0.0,28.9,20.299999,76.199997,5.3000002,4.5999999,10.4,96.5,21.4,53.200001,1.4,0.89999998,1.1,0.5,95.400002,67.099998,0.0,53.099998,50,41.099998,0.1,5.0,67.800003,33.0,18.700001,40.5,5.0999999,1.0,4,0.0,0.0,21.0,1.6,0.40000001,99.0,31.5,47.099998,30.799999,2.5,2.5,30.5,0.40000001,47.599998,0.405,0.89999998,93.300003,76.400002,2.0999999,103
290,44739,43.200001,42.299999,47.200001,0.075999998,82.900002,7.5999999,32.799999,211.3,622.29999,74.699997,19.700001,23.6,0.0,0.0,0.0,28.4,34.700001,62.299999,4.5,3.3,8.8999996,98.300003,33.299999,50.0,1.5,0.89999998,1.4,0.5,92.599998,44.599998,55.799999,91.5,113,77.099998,2.0,3.0999999,75.699997,34.599998,12.1,40.299999,9.8000002,1.0,4,1.8,0.0,57.200001,1.4,0.33000001,165.0,30.5,42.700001,9.0,17.0,1.1,220.7,2.97,11.1,1.622,0.0,89.0,85.199997,5.8000002,156
291,7444,51.700001,51.5,71.5,0.206,57.5,12.5,31.200001,1258.3,205.89999,72.599998,18.799999,21.4,0.0,0.0,0.0,28.1,108.3,140.5,9.3999996,5.4000001,8.1999998,96.599998,29.4,41.599998,1.8,0.89999998,1.4,0.5,73.5,81.0,0.0,66.300003,94,39.900002,0.1,2.9000001,77.699997,38.700001,10.8,36.5,13.8,0.1,1,1.9,0.0,43.5,3.0999999,0.33000001,145.0,2.7,52.099998,13.4,0.0,1.2,197.89999,0.64999998,11.6,0.52499998,0.0,80.300003,80.300003,2.4000001,1312
