asdf_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
128,6860.1318,6870.3174,6633.7148,6765.2861,7075.8525,6981.2305,7104.7168,6929.4976,7069.8276,7026.396,7329.9307,7043.479,6996.2817,7001.7998,6926.6392,7054.3887,7160.4976,7186.2637,7202.4966,7218.1279
129,16969.279,17097.539,16215.556,16421.801,16753.977,16429.543,16453.869,15784.116,15744.307,15943.454,15996.834,15862.066,15729.326,15603.618,15268.596,15613.043,15584.24,15617.661,15617.104,15611.856
130,2540.1978,2653.8833,2797.7368,2942.2983,3032.4644,3532.0688,3567.4121,3653.5547,3830.4971,4330.0684,4359.9429,4369.144,4691.6836,4927.8545,5263.6523,5482.7852,5664.3135,6017.0117,6325.2959,6635.9932
131,5443.2075,5524.3164,5540.0728,5454.4873,5619.4551,5608.2705,5752.5444,5834.8867,5826.6646,6042.7305,6034.5244,6308.9263,6396.6035,6398.4688,6362.2739,6626.3999,6671.7617,6746.0884,6819.2734,6943.0947
132,23115.242,24480.746,26103.883,27779.221,29791.025,31636.328,33711.848,35770.898,38276.555,40982.25,43598.086,46686.879,49575.969,52996.336,56587.047,60379.387,64507.398,68720.555,73333.328,78216.859
133,5623.0439,5606.0439,5580.5957,5545.2178,5606.21,5596.9585,5555.8262,5554.3862,5557.9629,5598.0254,5583.9033,5525.4751,5528.8555,5525.3252,5555.6182,5535.0029,5537.4121,5550.9316,5527.3311,5534.4375
134,7917.1699,7836.0068,7774.769,7674.1582,7625.1675,7541.3013,7479.6787,7387.791,7316.2002,7241.707,7172.0684,7135.2559,7079.3486,7021.6211,6952.7813,6885.4541,6810.3115,6758.2451,6700.6133,6647.0596
135,498659.34,508115.13,517318.56,526920.31,537242.63,546625.63,556320.5,567725.75,577859.25,589562.38,599886.38,614411.0,626420.5,637494.5,650430.63,661788.38,673213.69,685848.81,698673.0,711325.13
136,22748.914,22747.223,21950.365,21765.639,23560.316,23598.561,23833.563,23229.877,23231.854,24251.453,24823.643,25121.707,24917.457,25516.846,25699.336,26977.135,27313.098,27758.949,28007.77,28510.283
137,1793.7905,1873.4399,1961.0181,2044.1038,2139.5034,2230.5571,2325.2092,2430.1023,2545.98,2645.9819,2773.8667,2911.2078,3030.7129,3175.9133,3325.7424,3462.6465,3622.7852,3794.3574,3975.6089,4155.9766
