asdf_id,shapeName,year,ntl,tr6_ntl,tr100_ntl,tr400_ntl
21,Sicaya,2015,18.04754066467285,17.518101,18.218618,18.292576
21,Sicaya,2016,14.39406394958496,19.943247,20.578825,20.6572
21,Sicaya,2017,30.15736389160156,23.383936,23.313305,23.345566
21,Sicaya,2018,29.83189010620117,26.960112,26.400459,26.381987
21,Sicaya,2019,30.66200637817383,30.391554,29.861483,29.805092
21,Sicaya,2020,31.41423416137695,33.85247,33.751957,33.666508
22,Puerto Quijarro,2012,682.4830932617188,697.07922,723.10504,727.27808
22,Puerto Quijarro,2013,735.7755126953125,740.92249,750.92133,752.43677
22,Puerto Quijarro,2014,810.0148315429688,784.86017,779.35712,778.341
22,Puerto Quijarro,2015,821.2529296875,824.87207,807.77045,804.83618
22,Puerto Quijarro,2016,801.455078125,860.58258,835.75024,831.82855
22,Puerto Quijarro,2017,967.9913330078125,891.13074,862.98401,859.2475
22,Puerto Quijarro,2018,941.1800537109375,905.35565,888.75775,886.94067
22,Puerto Quijarro,2019,912.8082885742188,903.98389,913.34796,915.00269
22,Puerto Quijarro,2020,842.8209838867188,894.12213,937.61835,943.68793
23,Capinota,2012,317.3524169921875,315.96146,312.27679,311.86252
23,Capinota,2013,336.9388427734375,325.4314,324.84286,324.74994
23,Capinota,2014,322.9529724121094,335.42181,337.96875,338.18411
23,Capinota,2015,345.4417724609375,348.13483,351.86652,352.23785
23,Capinota,2016,342.9830017089844,363.9296,366.61469,366.94836
23,Capinota,2017,406.2875671386719,382.77817,382.22952,382.3389
23,Capinota,2018,401.9725646972656,400.836,398.457,398.36505
23,Capinota,2019,434.6876831054688,417.49094,415.24982,415.03445
23,Capinota,2020,416.5617980957031,432.27026,432.5878,432.36014
24,Arque,2012,48.46227264404297,51.428497,54.683151,55.234634
24,Arque,2013,65.85188293457031,61.07122,62.501122,62.726479
24,Arque,2014,68.18721771240234,71.835922,71.350479,71.211121
24,Arque,2015,92.96176147460938,83.912811,81.298828,80.800583
24,Arque,2016,72.77301025390625,96.779259,92.353935,91.603775
24,Arque,2017,128.6324920654297,111.38035,104.61559,103.76722
24,Arque,2018,155.6669158935547,123.50899,117.91291,117.38737
24,Arque,2019,129.5996551513672,130.39278,132.22102,132.61604
24,Arque,2020,115.6123504638672,134.38571,147.90044,149.7235
25,Corocoro,2012,118.2604751586914,115.53945,112.30446,112.04236
25,Corocoro,2013,145.2273559570313,129.54918,129.69975,129.69678
25,Corocoro,2014,126.6464309692383,145.79948,149.86664,150.15332
25,Corocoro,2015,155.9871826171875,168.36465,173.54486,173.93259
25,Corocoro,2016,171.6032409667969,199.38312,201.392,201.58722
25,Corocoro,2017,288.4741516113281,239.07454,233.94699,233.70125
25,Corocoro,2018,321.2333068847656,279.78326,271.30975,270.81757
25,Corocoro,2019,317.8268737792969,317.42746,313.92087,313.64856
25,Corocoro,2020,321.6155395507813,354.56131,362.78745,363.14331
26,San Benito,2012,412.0102844238281,399.85098,378.89346,375.76282
26,San Benito,2013,450.1168212890625,442.44614,434.11609,432.87833
26,San Benito,2014,471.2096862792969,491.93207,497.80295,498.78949
26,San Benito,2015,557.8251953125,553.74115,571.99915,575.05884
26,San Benito,2016,637.8863525390625,631.47015,659.02155,663.48254
26,San Benito,2017,743.8651733398438,730.86584,761.63306,766.15704
26,San Benito,2018,788.5169067382813,861.5105,883.01111,885.48529
26,San Benito,2019,985.2809448242188,1040.7471,1026.8068,1024.219
26,San Benito,2020,1418.649780273438,1278.3912,1196.0592,1185.2222
27,Sapahaqui,2012,5.658347606658936,6.2962523,6.9632368,7.0915942
27,Sapahaqui,2013,10.51141929626465,7.4712396,7.8483019,7.9055057
27,Sapahaqui,2014,6.054214477539063,8.7152596,8.8275261,8.8078566
27,Sapahaqui,2015,9.350325584411621,10.376361,9.916728,9.809124
27,Sapahaqui,2016,11.2589111328125,12.350139,11.094162,10.911023
27,Sapahaqui,2017,20.30219841003418,14.154994,12.316617,12.111081
27,Sapahaqui,2018,18.5201416015625,14.827942,13.523726,13.403597
27,Sapahaqui,2019,14.48550891876221,14.274723,14.710249,14.797203
27,Sapahaqui,2020,10.03183460235596,13.158395,15.927095,16.31587
28,Cairoma,2012,7.830812454223633,8.3644867,7.834094,7.7701712
28,Cairoma,2013,13.60397815704346,9.8837204,9.6907034,9.6674604
28,Cairoma,2014,10.43562316894531,11.556341,11.987278,12.028275
28,Cairoma,2015,10.43880558013916,13.923772,14.878341,14.97894
28,Cairoma,2016,14.31670761108398,17.711723,18.566401,18.679817
28,Cairoma,2017,32.56882476806641,23.272564,23.257875,23.318996
28,Cairoma,2018,32.89045333862305,29.86997,29.126101,29.109661
28,Cairoma,2019,37.13743591308594,37.368847,36.435863,36.32962
28,Cairoma,2020,42.76227569580078,46.17897,45.551304,45.333752
29,Colquiri,2012,142.5414581298828,140.58408,138.08836,137.83391
29,Colquiri,2013,149.2377166748047,143.92863,143.72043,143.67877
29,Colquiri,2014,146.737060546875,147.67915,149.62985,149.78404
29,Colquiri,2015,137.4047546386719,153.08388,155.93982,156.18987
29,Colquiri,2016,149.9258117675781,161.44043,162.76125,162.93301
29,Colquiri,2017,205.1808319091797,171.43176,170.00781,170.00101
29,Colquiri,2018,180.0423583984375,179.28719,177.42738,177.33942
