asdf_id,shapeName,co2015,co2016,co2017,co2018,co2019,co2020,shapeID,tr100_co2015,tr100_co2016,tr100_co2017,tr100_co2018,tr100_co2019,tr100_co2020,tr400_co2015,tr400_co2016,tr400_co2017,tr400_co2018,tr400_co2019,tr400_co2020,tr6_co2015,tr6_co2016,tr6_co2017,tr6_co2018,tr6_co2019,tr6_co2020
10,Santiago de Huari,397.98145,402.04752,404.10184,406.38586,407.85489,410.36188,BOL-ADM3-33444609B12212981,398.9592,401.2865,403.61737,405.94955,408.28552,410.63235,398.97119,401.28363,403.60696,405.94067,408.28531,410.64273,398.78326,401.33319,403.76944,406.07443,408.28433,410.4863
11,Paẕa,398.97421,402.51083,404.81644,407.13623,409.99063,411.33441,BOL-ADM3-33444609B81698958,399.6178,402.07794,404.54648,407.02142,409.50351,411.99387,399.62732,402.0762,404.53857,407.01367,409.50177,412.00351,399.48193,402.10342,404.65973,407.13245,409.5285,411.85501
12,Villa Rivero,398.74548,400.55893,404.3255,404.75528,408.48355,411.33661,BOL-ADM3-33444609B39428862,398.50839,400.96115,403.43149,405.91763,408.42728,410.95615,398.50424,400.96152,403.43439,405.92267,408.42844,410.95065,398.56674,400.95923,403.39514,405.83905,408.40564,411.0365
13,Andamarca,400.30893,401.77783,404.38974,405.95758,409.8587,410.61893,BOL-ADM3-33444609B55151365,399.98343,402.16461,404.36093,406.57178,408.79727,411.03082,399.98096,402.16574,404.36307,406.57315,408.79611,411.03003,400.02176,402.14523,404.32623,406.55298,408.82358,411.03943
14,Chacarilla,400.13889,402.64944,404.90283,409.15918,413.2233,412.59103,BOL-ADM3-33444609B33779243,400.11182,402.88898,405.68582,408.50012,411.32178,414.14752,400.1185,402.89014,405.68097,408.49075,411.31705,414.15878,400.02655,402.86478,405.74133,408.64038,411.40887,413.97437
15,Arbieto,397.8739,401.00247,403.42477,405.90387,408.84491,411.3175,BOL-ADM3-33444609B65270572,398.09457,400.72702,403.37454,406.03784,408.71814,411.41513,398.09647,400.72623,403.37302,406.03687,408.71793,411.4165,398.06683,400.73828,403.39627,406.05157,408.72009,411.39395
16,Papel Pampa,401.60245,403.3389,404.43015,405.70145,410.5137,411.31091,BOL-ADM3-33444609B96301403,401.091,403.0892,405.1026,407.13907,409.1994,411.27078,401.07932,403.09055,405.11343,407.14954,409.1994,411.2598,401.258,403.06998,404.94598,406.98572,409.20801,411.42456
17,Umala,399.93509,402.5925,404.35153,407.68973,411.44693,411.77933,BOL-ADM3-33444609B33786797,399.95425,402.47211,405.00565,407.55591,410.11752,412.68597,399.95673,402.47269,405.0043,407.552,410.11456,412.6911,399.92337,402.46118,405.01703,407.6142,410.16876,412.60687
18,Oruro,400.28693,402.77014,405.21191,406.55618,409.1196,411.40256,BOL-ADM3-33444609B89522171,400.48172,402.6322,404.79211,406.96106,409.14282,411.33688,400.48306,402.63144,404.79077,406.96106,409.14322,411.33725,400.46036,402.64545,404.81451,406.95892,409.13464,411.33295
19,Huayllamarca,401.0231,403.2468,404.53751,406.11389,411.36865,411.70416,BOL-ADM3-33444609B49437729,400.69931,402.92758,405.17157,407.43774,409.72659,412.02512,400.69147,402.92856,405.17911,407.44476,409.72562,412.01843,400.81415,402.91339,405.0574,407.33459,409.75159,412.11688
20,San Pedro de Curahuara,400.78482,403.1814,405.52109,407.44641,412.49234,411.59488,BOL-ADM3-33444609B90350398,400.85849,403.23358,405.62198,408.02237,410.43268,412.84482,400.8627,403.23398,405.6189,408.01752,410.42896,412.85172,400.80289,403.22473,405.65836,408.09378,410.49884,412.73517
21,Sicaya,400.77203,401.88153,403.621,404.83536,410.31735,411.25586,BOL-ADM3-33444609B28043407,399.85718,402.05972,404.28363,406.53671,408.82007,411.11746,399.84119,402.06219,404.2981,406.55066,408.82007,411.10275,400.08835,402.02158,404.07471,406.33746,408.82886,411.32431
22,Puerto Quijarro,398.44882,403.08163,403.33109,406.0903,408.95456,410.95529,BOL-ADM3-33444609B22047407,399.23666,401.58646,403.94217,406.31073,408.69318,411.08823,399.24011,401.58417,403.94025,406.30975,408.69318,411.09021,399.1828,401.62839,403.97009,406.32101,408.69318,411.06216
