asdf_id,shapeName,shapeID,year,co,tr6_co,tr100_co,tr400_co
13,Andamarca,BOL-ADM3-33444609B55151365,2020,410.61893,411.03943,411.03082,411.03003
14,Chacarilla,BOL-ADM3-33444609B33779243,2015,400.13889,400.02655,400.11182,400.1185
14,Chacarilla,BOL-ADM3-33444609B33779243,2016,402.64944,402.86478,402.88898,402.89014
14,Chacarilla,BOL-ADM3-33444609B33779243,2017,404.90283,405.74133,405.68582,405.68097
14,Chacarilla,BOL-ADM3-33444609B33779243,2018,409.15918,408.64038,408.50012,408.49075
14,Chacarilla,BOL-ADM3-33444609B33779243,2019,413.2233,411.40887,411.32178,411.31705
14,Chacarilla,BOL-ADM3-33444609B33779243,2020,412.59103,413.97437,414.14752,414.15878
15,Arbieto,BOL-ADM3-33444609B65270572,2015,397.8739,398.06683,398.09457,398.09647
15,Arbieto,BOL-ADM3-33444609B65270572,2016,401.00247,400.73828,400.72702,400.72623
15,Arbieto,BOL-ADM3-33444609B65270572,2017,403.42477,403.39627,403.37454,403.37302
15,Arbieto,BOL-ADM3-33444609B65270572,2018,405.90387,406.05157,406.03784,406.03687
15,Arbieto,BOL-ADM3-33444609B65270572,2019,408.84491,408.72009,408.71814,408.71793
15,Arbieto,BOL-ADM3-33444609B65270572,2020,411.3175,411.39395,411.41513,411.4165
16,Papel Pampa,BOL-ADM3-33444609B96301403,2015,401.60245,401.258,401.091,401.07932
16,Papel Pampa,BOL-ADM3-33444609B96301403,2016,403.3389,403.06998,403.0892,403.09055
16,Papel Pampa,BOL-ADM3-33444609B96301403,2017,404.43015,404.94598,405.1026,405.11343
16,Papel Pampa,BOL-ADM3-33444609B96301403,2018,405.70145,406.98572,407.13907,407.14954
16,Papel Pampa,BOL-ADM3-33444609B96301403,2019,410.5137,409.20801,409.1994,409.1994
16,Papel Pampa,BOL-ADM3-33444609B96301403,2020,411.31091,411.42456,411.27078,411.2598
17,Umala,BOL-ADM3-33444609B33786797,2015,399.93509,399.92337,399.95425,399.95673
17,Umala,BOL-ADM3-33444609B33786797,2016,402.5925,402.46118,402.47211,402.47269
17,Umala,BOL-ADM3-33444609B33786797,2017,404.35153,405.01703,405.00565,405.0043
17,Umala,BOL-ADM3-33444609B33786797,2018,407.68973,407.6142,407.55591,407.552
17,Umala,BOL-ADM3-33444609B33786797,2019,411.44693,410.16876,410.11752,410.11456
17,Umala,BOL-ADM3-33444609B33786797,2020,411.77933,412.60687,412.68597,412.6911
18,Oruro,BOL-ADM3-33444609B89522171,2015,400.28693,400.46036,400.48172,400.48306
18,Oruro,BOL-ADM3-33444609B89522171,2016,402.77014,402.64545,402.6322,402.63144
18,Oruro,BOL-ADM3-33444609B89522171,2017,405.21191,404.81451,404.79211,404.79077
18,Oruro,BOL-ADM3-33444609B89522171,2018,406.55618,406.95892,406.96106,406.96106
18,Oruro,BOL-ADM3-33444609B89522171,2019,409.1196,409.13464,409.14282,409.14322
18,Oruro,BOL-ADM3-33444609B89522171,2020,411.40256,411.33295,411.33688,411.33725
19,Huayllamarca,BOL-ADM3-33444609B49437729,2015,401.0231,400.81415,400.69931,400.69147
19,Huayllamarca,BOL-ADM3-33444609B49437729,2016,403.2468,402.91339,402.92758,402.92856
19,Huayllamarca,BOL-ADM3-33444609B49437729,2017,404.53751,405.0574,405.17157,405.17911
19,Huayllamarca,BOL-ADM3-33444609B49437729,2018,406.11389,407.33459,407.43774,407.44476
19,Huayllamarca,BOL-ADM3-33444609B49437729,2019,411.36865,409.75159,409.72659,409.72562
19,Huayllamarca,BOL-ADM3-33444609B49437729,2020,411.70416,412.11688,412.02512,412.01843
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2015,400.78482,400.80289,400.85849,400.8627
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2016,403.1814,403.22473,403.23358,403.23398
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2017,405.52109,405.65836,405.62198,405.6189
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2018,407.44641,408.09378,408.02237,408.01752
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2019,412.49234,410.49884,410.43268,410.42896
20,San Pedro de Curahuara,BOL-ADM3-33444609B90350398,2020,411.59488,412.73517,412.84482,412.85172
21,Sicaya,BOL-ADM3-33444609B28043407,2015,400.77203,400.08835,399.85718,399.84119
21,Sicaya,BOL-ADM3-33444609B28043407,2016,401.88153,402.02158,402.05972,402.06219
21,Sicaya,BOL-ADM3-33444609B28043407,2017,403.621,404.07471,404.28363,404.2981
21,Sicaya,BOL-ADM3-33444609B28043407,2018,404.83536,406.33746,406.53671,406.55066
21,Sicaya,BOL-ADM3-33444609B28043407,2019,410.31735,408.82886,408.82007,408.82007
21,Sicaya,BOL-ADM3-33444609B28043407,2020,411.25586,411.32431,411.11746,411.10275
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2015,398.44882,399.1828,399.23666,399.24011
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2016,403.08163,401.62839,401.58646,401.58417
