POLY_ID,DEPARTAMEN,mun
165,Oruro,Caracollo
166,Oruro,El Choro
167,Oruro,Pari-Paria-Soracachi
168,Oruro,Challapata
169,Oruro,Quillacas
170,Oruro,Corque
171,Oruro,Choque Cota
172,Oruro,Curahuara de Carangas
173,Oruro,Turco
174,Oruro,Huachacalla
175,Oruro,Escara
176,Oruro,Cruz de Machacamarca
177,Oruro,Yunguyo de Litoral
178,Oruro,Esmeralda
179,Oruro,Poop<f3>
180,Oruro,Paz<f1>a
181,Oruro,Antequera
182,Oruro,Huanuni
183,Oruro,Machacamarca
184,Oruro,Salinas de Garci Mendoza
185,Oruro,Pampa Aullagas
186,Oruro,Sabaya
187,Oruro,Coipasa
188,Oruro,Chipaya
189,Oruro,Toledo
190,Oruro,Eucaliptus
191,Oruro,Santiago de Andamarca
192,Oruro,Bel<e9>n de Andamarca
193,Oruro,San Pedro de Totora
194,Oruro,Huari
195,Oruro,La Rivera
196,Oruro,Todos Santos
197,Oruro,Carangas
198,Oruro,Huayllamarca
199,Potosi,Potos<ed>
200,Potosi,Tinguipaya
201,Potosi,Yocalla
202,Potosi,Urmiri
203,Potosi,Unc<ed>a
204,Potosi,Chayanta
205,Potosi,Llallagua
206,Potosi,Chuquihuta
207,Potosi,Betanzos
208,Potosi,Chaqu<ed>
209,Potosi,Tacobamba
210,Potosi,Colquechaca
211,Potosi,Ravelo
212,Potosi,Pocoata
213,Potosi,Ocur<ed>
214,Potosi,San Pedro de Buena Vista
215,Potosi,Toro Toro
216,Potosi,Cotagaita
217,Potosi,Vitichi
218,Potosi,Villa de Sacaca
219,Potosi,Caripuyo
220,Potosi,Tupiza
221,Potosi,Atocha
222,Potosi,"Colcha ""K"""
223,Potosi,San Pedro de Quemes
224,Potosi,San Pablo de L<ed>pez
225,Potosi,Mojinete
226,Potosi,San Antonio de Esmoruco
227,Potosi,Puna
228,Potosi,"Caiza ""D"""
229,Potosi,Ckochas
230,Potosi,Uyuni
231,Potosi,Tomave
232,Potosi,Porco
233,Potosi,Arampampa
234,Potosi,Acasio
235,Potosi,Llica
236,Potosi,Tahua
237,Potosi,Villaz<f3>n
238,Potosi,San Agust<ed>n
239,Tarija,Tarija
240,Tarija,Padcaya
241,Tarija,Bermejo
242,Tarija,Yacuiba
243,Tarija,Carapar<ed>
244,Tarija,Villamontes
245,Tarija,Uriondo
246,Tarija,Yunchar<e1>
247,Tarija,Villa San Lorenzo
248,Tarija,El Puente
249,Tarija,Entre R<ed>os
250,Santa Cruz,Santa Cruz de la Sierra
251,Santa Cruz,Cotoca
252,Santa Cruz,Porongo
253,Santa Cruz,La Guardia
254,Santa Cruz,El Torno
255,Santa Cruz,Warnes
256,Santa Cruz,Okinawa Uno
257,Santa Cruz,San Ignacio de Velasco
258,Santa Cruz,San Miguel de Velasco
259,Santa Cruz,San Rafael
260,Santa Cruz,Buena Vista
261,Santa Cruz,San Carlos
262,Santa Cruz,Yapacan<ed>
263,Santa Cruz,San Juan de Yapacan<ed>
264,Santa Cruz,San Jos<e9> de Chiquitos
265,Santa Cruz,Pail<f3>n
266,Santa Cruz,Robor<e9>
267,Santa Cruz,Portachuelo
268,Santa Cruz,Santa Rosa del Sara
269,Santa Cruz,Colpa Belgica
270,Santa Cruz,Lagunillas
271,Santa Cruz,Charagua
272,Santa Cruz,Cabezas
273,Santa Cruz,Cuevo
274,Santa Cruz,Guti<e9>rrez
275,Santa Cruz,Camiri
276,Santa Cruz,Boyuibe
277,Santa Cruz,Vallegrande
278,Santa Cruz,Trigal
279,Santa Cruz,Moro Moro
280,Santa Cruz,Postrer Valle
281,Santa Cruz,Pucar<e1>
282,Santa Cruz,Samaipata
283,Santa Cruz,Pampa Grande
284,Santa Cruz,Mairana
285,Santa Cruz,Quirusillas
286,Santa Cruz,Montero
287,Santa Cruz,Gral. Saavedra
288,Santa Cruz,Mineros
289,Santa Cruz,Fern<e1>ndez Alonso
290,Santa Cruz,San Pedro
291,Santa Cruz,Concepci<f3>n
292,Santa Cruz,San Javier
293,Santa Cruz,San Ram<f3>n
294,Santa Cruz,San Juli<e1>n
295,Santa Cruz,San Antonio de Lomer<ed>o
296,Santa Cruz,Cuatro Ca<f1>adas
297,Santa Cruz,San Mat<ed>as
298,Santa Cruz,Comarapa
299,Santa Cruz,Saipina
300,Santa Cruz,Puerto Su<e1>rez
301,Santa Cruz,Puerto Quijarro
302,Santa Cruz,Carmen Rivero T<f3>rrez
303,Santa Cruz,Ascensi<f3>n de Guarayos
304,Santa Cruz,Urubich<e1>
305,Santa Cruz,El Puente
306,Beni,Trinidad
307,Beni,San Javier
308,Beni,Riberalta
309,Beni,Guayaramer<ed>n
310,Beni,Reyes
311,Beni,San Borja
312,Beni,Santa Rosa
313,Beni,Rurrenabaque
314,Beni,Santa Ana de Yacuma
315,Beni,Exaltaci<f3>n
316,Beni,San Ignacio
317,Beni,Loreto
318,Beni,San Andr<e9>s
319,Beni,San Joaqu<ed>n
320,Beni,San Ram<f3>n
321,Beni,Puerto Siles
322,Beni,Magdalena
323,Beni,Baures
324,Beni,Huacaraje
325,Pando,Cobija
326,Pando,Porvenir
327,Pando,Bolpebra
328,Pando,Bella Flor
329,Pando,Puerto Rico
330,Pando,San Pedro
331,Pando,Filadelfia
332,Pando,Puerto Gonzalo Moreno
333,Pando,San Lorenzo
334,Pando,El Sena
335,Pando,Santa Rosa
336,Pando,Ingavi
337,Pando,Nueva Esperanza
338,Pando,Villa Nueva-Loma Alta
339,Pando,Santos Mercado
