asdf_id,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
20,979.659973145,8177.18017578,979.659973145,8253.66503906,979.659973145,8479.09570312,979.659973145,8382.83398438,979.659973145,8566.59570312,979.659973145,8537.84472656,979.659973145,8623.99121094,979.659973145,8781.234375,979.659973145,8742.13378906,979.659973145,8854.0390625,979.659973145,8929.92578125,979.659973145,9008.94238281,979.659973145,9105.55859375,979.659973145,9188.35253906,979.659973145,9273.55566406,979.659973145,9303.86914062,979.659973145,9363.90039062,979.659973145,9413.00195312,979.659973145,9482.94335938,979.659973145,9548.98632812,979.659973145,9640.64550781,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,145.529998779,1948.10375977,145.529998779,2059.29272461,145.529998779,2205.88256836,145.529998779,2111.91455078,145.529998779,2435.35375977,145.529998779,2313.50634766,145.529998779,2506.90869141,145.529998779,2738.29956055,145.529998779,2614.08886719,145.529998779,2822.52197266,145.529998779,2880.88867188,145.529998779,3115.09228516,145.529998779,3332.01538086,145.529998779,3445.70605469,145.529998779,3569.15722656,145.529998779,3513.59912109,145.529998779,3903.22705078,145.529998779,4113.73632812,145.529998779,4285.15527344,145.529998779,4481.32714844,145.529998779,4678.98779297,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,1792.43994141,inf,1714.75,12584.3789062,1714.75,13288.9130859,1714.75,12928.8369141,1714.75,13829.9482422,1714.75,13622.6972656,1714.75,14228.2148438,1714.75,14902.0332031,1714.75,14567.8320312,1714.75,15235.8535156,1714.75,15597.1015625,1714.75,15892.7568359,1714.75,16228.0742188,1714.75,16652.1113281,1714.75,17069.8476562,1714.75,17455.3222656,1714.75,17888.7988281,1714.75,18274.828125,1714.75,18719.8535156,1714.75,19159.5292969,1714.75,19605.0546875,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,706.650024414,17002.1621094,706.650024414,17072.7714844,706.650024414,17746.3710938,706.650024414,17328.7089844,706.650024414,17781.7304688,706.650024414,17706.0253906,706.650024414,18034.3183594,706.650024414,18606.8828125,706.650024414,18211.828125,706.650024414,18952.2324219,706.650024414,19163.296875,706.650024414,19120.0136719,706.650024414,19365.3945312,706.650024414,19627.90625,706.650024414,19975.0019531,706.650024414,20480.7871094,706.650024414,20470.7890625,706.650024414,20663.1308594,706.650024414,20945.2011719,706.650024414,21195.4609375,706.650024414,21485.0488281,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,646.549987793,11570.3808594,646.549987793,11470.3876953,646.549987793,11181.1289062,646.549987793,11336.9804688,646.549987793,11053.1181641,646.549987793,11133.4931641,646.549987793,10964.3125,646.549987793,10756.2617188,646.549987793,10829.2480469,646.549987793,10659.7255859,646.549987793,10604.6777344,646.549987793,10480.1152344,646.549987793,10327.2119141,646.549987793,10237.0097656,646.549987793,10147.2841797,646.549987793,10045.9121094,646.549987793,9969.58984375,646.549987793,9871.76171875,646.549987793,9774.08984375,646.549987793,9691.20507812,646.549987793,9617.53417969,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,1365.64001465,11635.7597656,1365.64001465,11494.1347656,1365.64001465,11306.5390625,1365.64001465,11391.4316406,1365.64001465,11135.9013672,1365.64001465,11175.2626953,1365.64001465,11069.5175781,1365.64001465,10866.9707031,1365.64001465,10935.7519531,1365.64001465,10844.3476562,1365.64001465,10810.9121094,1365.64001465,10755.3535156,1365.64001465,10643.0976562,1365.64001465,10583.7861328,1365.64001465,10508.1826172,1365.64001465,10440.1152344,1365.64001465,10384.546875,1365.64001465,10330.7216797,1365.64001465,10280.6025391,1365.64001465,10225.2314453,1365.64001465,10186.2949219,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,177.419998169,15115.234375,177.419998169,15267.4472656,177.419998169,15187.421875,177.419998169,15162.21875,177.419998169,16103.8125,177.419998169,15096.6113281,177.419998169,15935.8632812,177.419998169,15975.7050781,177.419998169,15935.7539062,177.419998169,15700.40625,177.419998169,16063.8730469,177.419998169,16072.2128906,177.419998169,16400.8710938,177.419998169,16350.4316406,177.419998169,16329.7734375,177.419998169,16188.8671875,177.419998169,16827.8828125,177.419998169,17035.4707031,177.419998169,17177.546875,177.419998169,17306.8320312,177.419998169,17418.1796875,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,1007.82000732,11630.046875,1007.82000732,11715.3085938,1007.82000732,11746.2460938,1007.82000732,11718.9101562,1007.82000732,11919.65625,1007.82000732,11825.546875,1007.82000732,11936.4863281,1007.82000732,12089.65625,1007.82000732,11968.40625,1007.82000732,12155.9238281,1007.82000732,12179.1113281,1007.82000732,12239.8222656,1007.82000732,12371.3574219,1007.82000732,12424.6816406,1007.82000732,12505.1191406,1007.82000732,12451.7626953,1007.82000732,12599.7871094,1007.82000732,12732.3583984,1007.82000732,12762.8261719,1007.82000732,12833.6367188,1007.82000732,12918.2578125,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,846.809997559,12456.2734375,846.809997559,12416.5029297,846.809997559,12562.2460938,846.809997559,12453.8730469,846.809997559,12585.7421875,846.809997559,12696.7714844,846.809997559,12719.5039062,846.809997559,12782.890625,846.809997559,12782.109375,846.809997559,12873.6416016,846.809997559,12945.4697266,846.809997559,12941.2578125,846.809997559,12772.4746094,846.809997559,12751.3867188,846.809997559,12921.5878906,846.809997559,13078.3808594,846.809997559,12880.9384766,846.809997559,12910.9238281,846.809997559,12909.7705078,846.809997559,12974.0332031,846.809997559,13039.5332031,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,1250.08996582,17291.9101562,1250.08996582,17349.8203125,1250.08996582,17641.4414062,1250.08996582,17488.5195312,1250.08996582,17781.4335938,1250.08996582,17754.5390625,1250.08996582,17986.5488281,1250.08996582,18191.0039062,1250.08996582,18115.9921875,1250.08996582,18291.1445312,1250.08996582,18443.6757812,1250.08996582,18432.4667969,1250.08996582,18328.0820312,1250.08996582,18583.3515625,1250.08996582,18764.7460938,1250.08996582,18987.3945312,1250.08996582,18994.0410156,1250.08996582,18918.2753906,1250.08996582,19143.4042969,1250.08996582,19227.9179688,1250.08996582,19344.7285156,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,1037.82006836,6330.51318359,1037.82006836,6315.93945312,1037.82006836,6597.37304688,1037.82006836,6450.98242188,1037.82006836,6661.20703125,1037.82006836,6720.3203125,1037.82006836,6838.50488281,1037.82006836,7008.81933594,1037.82006836,6992.60595703,1037.82006836,7095.30175781,1037.82006836,7209.04589844,1037.82006836,7227.21044922,1037.82006836,7150.49462891,1037.82006836,7210.51660156,1037.82006836,7446.14892578,1037.82006836,7652.44824219,1037.82006836,7680.5078125,1037.82006836,7718.38085938,1037.82006836,7769.484375,1037.82006836,7849.72460938,1037.82006836,7955.46240234,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,1217.27001953,36888.9648438,1217.27001953,39557.7070312,1217.27001953,45479.7851562,1217.27001953,42348.0898438,1217.27001953,52453.5703125,1217.27001953,48536.9453125,1217.27001953,56002.671875,1217.27001953,64787.890625,1217.27001953,60170.8007812,1217.27001953,70213.03125,1217.27001953,75473.5546875,1217.27001953,81067.703125,1217.27001953,86212.7578125,1217.27001953,92819.7578125,1217.27001953,99513.5234375,1217.27001953,106350.617188,1217.27001953,114988.796875,1217.27001953,123966.320312,1217.27001953,133134.765625,1217.27001953,143111.578125,1217.27001953,153883.359375,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,848.149963379,3362.63232422,848.149963379,3309.8737793,848.149963379,3210.57519531,848.149963379,3255.64453125,848.149963379,3106.06201172,848.149963379,3162.23242188,848.149963379,3056.54736328,848.149963379,2962.26708984,848.149963379,3013.63061523,848.149963379,2913.47583008,848.149963379,2865.82592773,848.149963379,2813.05883789,848.149963379,2763.61499023,848.149963379,2724.22631836,848.149963379,2677.99511719,848.149963379,2636.4284668,848.149963379,2584.36035156,848.149963379,2539.98339844,848.149963379,2497.96191406,848.149963379,2458.96435547,848.149963379,2414.97558594,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
